img_id,rx1,ry1,rx2,ry2,scale,x_6,y_6,vis_6,x_7,y_7,vis_7,x_8,y_8,vis_8,x_9,y_9,vis_9,x_0,y_0,vis_0,x_1,y_1,vis_1,x_2,y_2,vis_2,x_3,y_3,vis_3,x_4,y_4,vis_4,x_5,y_5,vis_5,x_10,y_10,vis_10,x_11,y_11,vis_11,x_12,y_12,vis_12,x_13,y_13,vis_13,x_14,y_14,vis_14,x_15,y_15,vis_15,cat_name,act_name,act_id
4300,976,93,1088,240,4.435327270901213,1088.0,549.0,1.0,1064.0,249.0,1.0,1058.7323,235.4193,0.0,1005.2677,97.5807,0.0,1026.0,987.0,1.0,1023.0,724.0,1.0,1026.0,543.0,1.0,1149.0,554.0,1.0,1160.0,776.0,1.0,1121.0,1028.0,1.0,796.0,464.0,1.0,856.0,401.0,1.0,963.0,269.0,1.0,1165.0,228.0,1.0,1297.0,261.0,1.0,1417.0,319.0,1.0,sports,juggling,65
6477,332,93,359,131,1.1187707539974399,342.0,210.0,1.0,346.0,146.0,1.0,345.7742,130.6442,0.0,345.2258,93.3558,0.0,339.0,288.0,1.0,344.0,251.0,1.0,330.0,207.0,1.0,354.0,212.0,1.0,367.0,245.0,1.0,350.0,234.0,1.0,331.0,191.0,1.0,314.0,183.0,1.0,323.0,149.0,1.0,368.0,143.0,1.0,376.0,172.0,1.0,372.0,194.0,1.0,running,running,914
2312,914,18,968,92,2.1985886381949666,866.0,261.0,1.0,909.0,114.0,1.0,923.5299,87.2105,0.0,958.4701,22.7895,0.0,838.0,489.0,1.0,835.0,361.0,1.0,835.0,258.0,1.0,897.0,263.0,1.0,889.0,367.0,1.0,882.0,485.0,1.0,867.0,237.0,1.0,833.0,178.0,1.0,870.0,83.0,1.0,947.0,144.0,1.0,919.0,237.0,1.0,922.0,301.0,1.0,sports,jai alai,152
5446,605,153,656,221,2.04,612.0,385.0,1.0,624.0,278.0,0.0,628.0776,220.9136,0.0,632.9224,153.0864,0.0,540.0,598.0,1.0,539.0,492.0,1.0,589.0,384.0,1.0,635.0,385.0,1.0,669.0,504.0,1.0,689.0,603.0,1.0,644.0,214.0,1.0,613.0,239.0,1.0,578.0,266.0,0.0,669.0,289.0,1.0,616.0,277.0,1.0,578.0,253.0,1.0,sports,track and field,556
8578,239,99,281,152,1.6229750460188843,261.0,263.0,1.0,268.0,166.0,1.0,265.2418,152.0368,0.0,254.7582,98.9632,0.0,191.0,407.0,1.0,220.0,337.0,1.0,238.0,263.0,1.0,284.0,263.0,1.0,301.0,341.0,1.0,329.0,402.0,1.0,229.0,220.0,1.0,221.0,200.0,1.0,229.0,167.0,1.0,306.0,165.0,1.0,298.0,220.0,1.0,250.0,234.0,1.0,sports,"softball, general",522
8381,594,62,685,189,3.7496879870197195,609.0,272.0,1.0,620.0,163.0,1.0,610.6679,180.9464,0.0,668.3321,70.0536,0.0,594.0,495.0,1.0,551.0,384.0,1.0,580.0,272.0,1.0,638.0,272.0,1.0,677.0,371.0,1.0,669.0,487.0,1.0,495.0,266.0,1.0,499.0,231.0,1.0,555.0,152.0,1.0,685.0,173.0,1.0,712.0,276.0,1.0,675.0,284.0,1.0,sports,skateboarding,493
4570,288,121,319,156,1.122112293845852,347.0,193.0,1.0,319.0,153.0,0.0,317.1574,151.2763,0.0,289.8426,125.7237,0.0,376.0,312.0,1.0,359.0,245.0,1.0,360.0,192.0,1.0,334.0,194.0,1.0,308.0,237.0,1.0,331.0,279.0,1.0,349.0,187.0,0.0,371.0,164.0,1.0,339.0,154.0,0.0,298.0,152.0,1.0,314.0,161.0,1.0,321.0,189.0,1.0,running,running,335
4543,648,440,694,508,1.970340072170284,699.0,671.0,1.0,676.0,525.0,1.0,674.2041,506.6823,0.0,667.7959,441.3177,0.0,696.0,930.0,1.0,736.0,818.0,1.0,725.0,663.0,1.0,672.0,679.0,1.0,701.0,800.0,1.0,712.0,906.0,0.0,780.0,537.0,1.0,769.0,555.0,1.0,723.0,515.0,1.0,628.0,535.0,1.0,586.0,564.0,1.0,608.0,559.0,0.0,sports,soccer,334
1296,1191,98,1361,270,5.804031702187713,1272.0,516.0,1.0,1259.0,301.0,1.0,1262.0907,279.7286,0.0,1289.9093,88.2714,0.0,1353.0,702.0,1.0,1344.0,628.0,1.0,1332.0,516.0,1.0,1211.0,516.0,1.0,1226.0,649.0,1.0,1232.0,776.0,1.0,1496.0,463.0,1.0,1409.0,401.0,1.0,1335.0,293.0,1.0,1183.0,308.0,1.0,1121.0,395.0,1.0,1059.0,460.0,1.0,walking,climbing hills,142
6096,415,0,530,119,3.9716918309455984,609.0,258.0,0.0,529.0,117.0,0.0,518.8945,106.7156,0.0,426.1055,12.2844,0.0,,,,398.0,450.0,1.0,576.0,260.0,0.0,641.0,256.0,1.0,520.0,409.0,1.0,,,,352.0,293.0,1.0,427.0,220.0,1.0,502.0,107.0,0.0,555.0,127.0,1.0,566.0,278.0,1.0,420.0,386.0,1.0,bicycling,bicycling,238
1305,331,69,404,162,2.837486211420242,332.0,256.0,1.0,355.0,157.0,1.0,353.8609,160.7819,0.0,381.1391,70.2181,0.0,297.0,293.0,1.0,298.0,280.0,1.0,309.0,254.0,1.0,355.0,258.0,1.0,350.0,299.0,1.0,346.0,324.0,1.0,274.0,220.0,1.0,271.0,173.0,1.0,314.0,145.0,1.0,395.0,169.0,1.0,383.0,221.0,1.0,383.0,265.0,1.0,walking,climbing hills,142
